场次日期,区县,主要路段,深度或状态,来源,URL,可信度
2023-07-28,官渡/盘龙/西山,国贸路×金汁路；二环东路菊华/南屏苑/石虎关等,约30–40cm断交6点,本地宝/央广转交警,http://km.bendibao.com/traffic/2023728/78010.shtm,高
2023-07-31~08-01,官渡等,二环东路多段；牛街庄轻度等约20处,重度>30cm断交3处,昆明日报/排水,https://kunming.cn/news/c/2023-08-02/13739476.shtml,高
2023-08-03,五华/官渡等,人民西路×海源中路；二环西路下层滇缅大道等,约15–20cm缓行,本地宝转交警,http://km.bendibao.com/traffic/202383/78118.shtm,中
2023-08-18,五华,滇缅大道黄土坡立交西口；海源中路×科锦路等,约10–30cm缓行/断交滚动,掌上春城系转交警,多源转载,中
2024-06-08~09,官渡/西山等,二环东路南屏苑；国贸路；前卫西路春晓花园等,南屏苑约100cm管制,澎湃/腾讯转交警,https://www.thepaper.cn/newsDetail_forward_27680108,高
2024-08-06,官渡/盘龙/经开,金马路；二环东路南屏苑/锦都/大树营；菊华等,管制约40–50cm,腾讯转交警,https://news.qq.com/rain/a/20240806A041LV00,高
2025-06-15,呈贡/官渡等,兴呈路；景明南路雨花隧道；环湖东路等,管制约30–40cm,腾讯转交警,https://news.qq.com/rain/a/20250615A03KMO00,高
2025-06-15,官渡/盘龙等,白龙路；广福路；国贸路×金汁路等11处>15cm,1处>30cm,昆明日报/排水,https://kunming.cn/news/c/2025-06-16/13953209.shtml,高
2025-08-12~13,主城多点,小花园；普吉立交；二环东路下穿等,不同程度；次日清零,昆明日报/国资委转,https://gzw.km.gov.cn/c/2025-08-18/5010687.shtml,高
2025-08-21~22,呈贡/高新等,金桂街×环湖东路等,约15cm缓行,昆明信息港,https://www.kunming.cn/news/c/2025-08-22/13972138.shtml,高
2026-07-16,官渡/五华等,二环东路；前卫西路×广福；滇缅大道；海源中路；希望路×广福等,>50cm断交6处,昆明日报/管网,https://kunming.cn/news/c/2026-07-17/14059480.shtml,高
2026-08-02~03,呈贡/经开,金桂街；兴呈路；昆玉路下穿等,临时管制,人民网云南,http://yn.people.com.cn/n2/2026/0804/c372456-41658327.html,高
2026-08-17~18,官渡为主,牛街庄隧道；二环东路多段；国贸路；日新立交等,断交约30–50cm,澎湃/信息港消防,https://www.163.com/dy/article/L4K84UA50514R9P4.html,高
