日期,观测时点,区县,路段,积水深度_cm,通行状态,持续情况_推算或原文,信息源,来源链接,备注
2026-07-16,08:00,官渡,二环东路（昆河铁路下穿段）,>50,断交,暴雨约01:00起；08:00时多数点已处置完毕，本点列入已处置,昆明信息港/昆明日报引昆水管网公司,https://www.kunming.cn/news/c/2026-07-17/14059480.shtml,重度积水6处之一
2026-07-16,08:00,官渡,前卫西路与广福路交叉口（十一家具城段）,>50→25,曾断交后可通行,约01:00起淹；08:00仍在处置、水深已降至25cm且不影响通行（至少持续约7小时）,昆明信息港/昆明日报引昆水管网公司,https://www.kunming.cn/news/c/2026-07-17/14059480.shtml,用户提到的上个月前卫西路；前卫雨量站3小时80.9mm
2026-07-16,08:00,官渡,二环东路（金马立交至大树营立交段）,>50,断交,同场暴雨；08:00基本处置完毕,昆明信息港/昆明日报引昆水管网公司,https://www.kunming.cn/news/c/2026-07-17/14059480.shtml,
2026-07-16,08:00,五华/西山一带,滇缅大道（海源中路至黄土坡立交西口段）,>50,断交,同场；08:00基本处置完毕,昆明信息港/昆明日报引昆水管网公司,https://www.kunming.cn/news/c/2026-07-17/14059480.shtml,
2026-07-16,08:00,五华,海源中路（滇缅大道至人民西路段）,>50,断交,同场；08:00基本处置完毕,昆明信息港/昆明日报引昆水管网公司,https://www.kunming.cn/news/c/2026-07-17/14059480.shtml,
2026-07-16,08:00,官渡,希望路与广福路交叉口,>50,断交,同场；08:00基本处置完毕,昆明信息港/昆明日报引昆水管网公司,https://www.kunming.cn/news/c/2026-07-17/14059480.shtml,
2026-07-16,08:00,官渡,广福路（云秀路至昌宏路段）,30–50,未断交（中度）,同场；08:00基本处置完毕,昆明信息港/昆明日报引昆水管网公司,https://www.kunming.cn/news/c/2026-07-17/14059480.shtml,中度5处之一
2026-07-16,08:00,官渡,昌宏西路林家围段,30–50,未断交（中度）,同场；08:00基本处置完毕,昆明信息港/昆明日报引昆水管网公司,https://www.kunming.cn/news/c/2026-07-17/14059480.shtml,
2026-07-16,08:00,官渡,雨龙路（米兰春天）,30–50,未断交（中度）,同场；08:00基本处置完毕,昆明信息港/昆明日报引昆水管网公司,https://www.kunming.cn/news/c/2026-07-17/14059480.shtml,
2026-07-16,08:00,西山,华昌路采莲路交叉口,30–50,未断交（中度）,同场；08:00基本处置完毕,昆明信息港/昆明日报引昆水管网公司,https://www.kunming.cn/news/c/2026-07-17/14059480.shtml,永昌片区邻近
2026-07-16,08:00,官渡,国贸路与金汁路交叉口,30–50,未断交（中度）,同场；08:00基本处置完毕,昆明信息港/昆明日报引昆水管网公司,https://www.kunming.cn/news/c/2026-07-17/14059480.shtml,8月18日再次断交
2026-07-16,08:00,主城多点,轻度积水点（共13处未逐一点名）,<30,未断交,同场；08:00基本处置完毕,昆明信息港/昆明日报引昆水管网公司,https://www.kunming.cn/news/c/2026-07-17/14059480.shtml,原文未列13处具体路名
2026-08-02~03,过程中,官渡,官渡/小板桥/矣六街道部分道路与低洼小区,未公开具体深度,局部积水,持续性暴雨；官方未给逐点水深与清退时刻,昆明日报（网易转载）,https://c.m.163.com/news/a/L3FPSGEN05346936.html,防汛Ⅳ级响应；矣六杜家营另有住户被困
2026-08-03,凌晨起,呈贡,金桂街靠环湖东路段,未公开,临时交通管制,连夜排涝；发稿时称运行平稳,昆明日报（网易转载）,https://c.m.163.com/news/a/L3FPSGEN05346936.html,深度未写
2026-08-03,凌晨起,呈贡,兴呈路小古城段,未公开,积水影响出行,同场,昆明日报（网易转载）,https://c.m.163.com/news/a/L3FPSGEN05346936.html,
2026-08-03,凌晨起,呈贡,昆玉路下穿涵洞,未公开,临时交通管制,同场,昆明日报（网易转载）,https://c.m.163.com/news/a/L3FPSGEN05346936.html,下穿类高风险
2026-08-03,过程中,经开,多条道路（未点名）,未公开,积水,同场降雨波及,昆明日报（网易转载）,https://c.m.163.com/news/a/L3FPSGEN05346936.html,
2026-08-18,09:20,官渡,贵昆路牛街庄隧道,30,断交,降雨主时段17日23时–18日6时；09:20已在断交名单；17:00仍断交（断交可见≥约8小时）,昆明本地宝汇编昆明交警,http://km.bendibao.com/news/2026818/106761.shtm,金马凉亭站24h雨量158.1mm
2026-08-18,09:20,官渡,二环东路下层南屏苑小区路段,40,断交,09:20–13:00仍断交；17:00积水消退正清淤（断交约≥4小时）,昆明本地宝汇编昆明交警,http://km.bendibao.com/news/2026818/106761.shtm,
2026-08-18,09:20,官渡,国贸路与金汁路/金汁路至官渡广场,40,断交,09:20–13:00约40cm；17:00仍约30cm断交（断交≥约8小时）,昆明本地宝汇编昆明交警,http://km.bendibao.com/news/2026818/106761.shtm,与7月16日中度点重叠
